# Produced by:
#   tool: speech 0.1.0
#   machine: Apple M5
#   macos: 26.6.2
#   apple-speech: bundled with macOS 26.6.2
#   fluidaudio: 0.15.6
#   transcribe.cpp: 0.2.3
#
# models.catalog.tsv - the model inventory. Format: docs/catalog.md.
#
# Generated by `speech catalog --tsv`; the source of truth is Catalog.swift joined with each engine's own capability record. Do not edit by hand: test.sh regenerates this file and fails on a difference.
#
# Tab-separated, '#' comments, no header row, '-' for a field with no value, '*' for a row that accepts any language.
#
# id	family	engine	role	source	file	params_m	precision	languages	modes	caps	min_macos	size_bytes	label
apple.dictation	apple	apple	transcriber	-	-	-	system	ar,ca,cs,da,de,el,en,es,fi,fr,he,hi,hr,hu,id,it,ja,ko,ms,nb,nl,pl,pt,ro,ru,sk,sv,th,tr,uk,vi,yue,zh	batch,live	word_ts,seg_ts,vocab,lang_hint	26.0	-	Apple dictation (built in)
apple.transcriber	apple	apple	transcriber	-	-	-	system	de,en,es,fr,it,ja,ko,pt,yue,zh	batch,live	word_ts,seg_ts,lang_hint	26.0	-	Apple long-form (built in)
fluid.canary-1b-v2@int4	canary	fluid	transcriber	FluidInference/canary-1b-v2-coreml	-	1000	int4	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,uk	batch	lang_hint	15.0	569316715	Canary 1B v2 (int4)
ggml.canary-1b-v2@q8_0	canary	ggml	transcriber	handy-computer/canary-1b-v2-gguf	canary-1b-v2-Q8_0.gguf	1000	q8_0	bg,hr,cs,da,nl,en,et,fi,fr,de,el,hu,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,ru,uk	batch	lang_hint	15.0	1144290016	Canary 1B v2 (Q8_0)
ggml.canary-1b-v2@q4_k_m	canary	ggml	transcriber	handy-computer/canary-1b-v2-gguf	canary-1b-v2-Q4_K_M.gguf	1000	q4_k_m	bg,hr,cs,da,nl,en,et,fi,fr,de,el,hu,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,ru,uk	batch	lang_hint	15.0	735476448	Canary 1B v2 (Q4_K_M)
fluid.nemotron-multilingual@2240	nemotron	fluid	transcriber	FluidInference/Nemotron-3.5-ASR-Streaming-Multilingual-0.6b-CoreML	-	600	int8	*	batch,live	word_ts,seg_ts,lang_hint	15.0	664846846	Nemotron 3.5 streaming (2.24 s chunks)
fluid.nemotron-multilingual@1120	nemotron	fluid	transcriber	FluidInference/Nemotron-3.5-ASR-Streaming-Multilingual-0.6b-CoreML	-	600	int8	*	batch,live	word_ts,seg_ts,lang_hint	15.0	664144423	Nemotron 3.5 streaming (1.12 s chunks)
fluid.nemotron-multilingual@560	nemotron	fluid	transcriber	FluidInference/Nemotron-3.5-ASR-Streaming-Multilingual-0.6b-CoreML	-	600	int8	*	batch,live	word_ts,seg_ts,lang_hint	15.0	-	Nemotron 3.5 streaming (0.56 s chunks)
ggml.nemotron-3.5-asr-streaming-0.6b@q8_0	nemotron	ggml	transcriber	handy-computer/nemotron-3.5-asr-streaming-0.6b-gguf	nemotron-3.5-asr-streaming-0.6b-Q8_0.gguf	600	q8_0	en-US,en-GB,es-US,es-ES,fr-FR,fr-CA,it-IT,pt-BR,pt-PT,nl-NL,de-DE,tr-TR,ru-RU,ar-AR,hi-IN,ja-JP,ko-KR,vi-VN,uk-UA,pl-PL,sv-SE,cs-CZ,nb-NO,da-DK,bg-BG,fi-FI,hr-HR,sk-SK,zh-CN,hu-HU,ro-RO,et-EE	batch,live	word_ts,seg_ts,lang_id,lang_hint	15.0	751094240	Nemotron 3.5 streaming (Q8_0)
ggml.nemotron-3.5-asr-streaming-0.6b@q4_k_m	nemotron	ggml	transcriber	handy-computer/nemotron-3.5-asr-streaming-0.6b-gguf	nemotron-3.5-asr-streaming-0.6b-Q4_K_M.gguf	600	q4_k_m	en-US,en-GB,es-US,es-ES,fr-FR,fr-CA,it-IT,pt-BR,pt-PT,nl-NL,de-DE,tr-TR,ru-RU,ar-AR,hi-IN,ja-JP,ko-KR,vi-VN,uk-UA,pl-PL,sv-SE,cs-CZ,nb-NO,da-DK,bg-BG,fi-FI,hr-HR,sk-SK,zh-CN,hu-HU,ro-RO,et-EE	batch,live	word_ts,seg_ts,lang_id,lang_hint	15.0	495831520	Nemotron 3.5 streaming (Q4_K_M)
